page,section,slot,asset_id,library_file,variant,width,height,largest_webp,srcset_webp,srcset_avif,alt,caption,loading,fetchpriority,reuses_slot,review_flag
home,hero,hero-main,A001,open-pit-mine-excavator-01.jpg,desktop-21x9,1920,823,/images/home/open-pit-mine-excavator-01-desktop-21x9-1920w.webp,"/images/home/open-pit-mine-excavator-01-desktop-21x9-480w.webp 480w, /images/home/open-pit-mine-excavator-01-desktop-21x9-768w.webp 768w, /images/home/open-pit-mine-excavator-01-desktop-21x9-1024w.webp 1024w, /images/home/open-pit-mine-excavator-01-desktop-21x9-1440w.webp 1440w, /images/home/open-pit-mine-excavator-01-desktop-21x9-1920w.webp 1920w","/images/home/open-pit-mine-excavator-01-desktop-21x9-480w.avif 480w, /images/home/open-pit-mine-excavator-01-desktop-21x9-768w.avif 768w, /images/home/open-pit-mine-excavator-01-desktop-21x9-1024w.avif 1024w, /images/home/open-pit-mine-excavator-01-desktop-21x9-1440w.avif 1440w, /images/home/open-pit-mine-excavator-01-desktop-21x9-1920w.avif 1920w",Excavator and truck working on the terraced benches of an open-pit mine in arid mountains.,Open-pit extraction benches at a mountain mine site.,eager,high,,
home,hero,hero-main,A001,open-pit-mine-excavator-01.jpg,mobile-4x5,1024,1280,/images/home/open-pit-mine-excavator-01-mobile-4x5-1024w.webp,"/images/home/open-pit-mine-excavator-01-mobile-4x5-480w.webp 480w, /images/home/open-pit-mine-excavator-01-mobile-4x5-768w.webp 768w, /images/home/open-pit-mine-excavator-01-mobile-4x5-1024w.webp 1024w","/images/home/open-pit-mine-excavator-01-mobile-4x5-480w.avif 480w, /images/home/open-pit-mine-excavator-01-mobile-4x5-768w.avif 768w, /images/home/open-pit-mine-excavator-01-mobile-4x5-1024w.avif 1024w",Excavator and truck working on the terraced benches of an open-pit mine in arid mountains.,Open-pit extraction benches at a mountain mine site.,eager,high,,
home,hero,hero-alt-slide,A085,mine-adit-entrance-01.jpg,banner-16x9,1920,1080,/images/home/mine-adit-entrance-01-banner-16x9-1920w.webp,"/images/home/mine-adit-entrance-01-banner-16x9-480w.webp 480w, /images/home/mine-adit-entrance-01-banner-16x9-768w.webp 768w, /images/home/mine-adit-entrance-01-banner-16x9-1024w.webp 1024w, /images/home/mine-adit-entrance-01-banner-16x9-1440w.webp 1440w, /images/home/mine-adit-entrance-01-banner-16x9-1920w.webp 1920w","/images/home/mine-adit-entrance-01-banner-16x9-480w.avif 480w, /images/home/mine-adit-entrance-01-banner-16x9-768w.avif 768w, /images/home/mine-adit-entrance-01-banner-16x9-1024w.avif 1024w, /images/home/mine-adit-entrance-01-banner-16x9-1440w.avif 1440w, /images/home/mine-adit-entrance-01-banner-16x9-1920w.avif 1920w",Men gathered at the entrance of an adit cut into a white rock cliff among pine trees.,Entrance to an underground working in a white rock cliff.,lazy,,,people - consent
home,hero,hero-alt-slide,A085,mine-adit-entrance-01.jpg,mobile-4x5,1920,2400,/images/home/mine-adit-entrance-01-mobile-4x5-1920w.webp,"/images/home/mine-adit-entrance-01-mobile-4x5-480w.webp 480w, /images/home/mine-adit-entrance-01-mobile-4x5-768w.webp 768w, /images/home/mine-adit-entrance-01-mobile-4x5-1024w.webp 1024w, /images/home/mine-adit-entrance-01-mobile-4x5-1440w.webp 1440w, /images/home/mine-adit-entrance-01-mobile-4x5-1920w.webp 1920w","/images/home/mine-adit-entrance-01-mobile-4x5-480w.avif 480w, /images/home/mine-adit-entrance-01-mobile-4x5-768w.avif 768w, /images/home/mine-adit-entrance-01-mobile-4x5-1024w.avif 1024w, /images/home/mine-adit-entrance-01-mobile-4x5-1440w.avif 1440w, /images/home/mine-adit-entrance-01-mobile-4x5-1920w.avif 1920w",Men gathered at the entrance of an adit cut into a white rock cliff among pine trees.,Entrance to an underground working in a white rock cliff.,lazy,,,people - consent
home,why-paktalc,why-card-quality,A063,talc-lumps-close-up-01.jpg,card-1x1,960,960,/images/home/talc-lumps-close-up-01-card-1x1-960w.webp,"/images/home/talc-lumps-close-up-01-card-1x1-480w.webp 480w, /images/home/talc-lumps-close-up-01-card-1x1-768w.webp 768w, /images/home/talc-lumps-close-up-01-card-1x1-960w.webp 960w","/images/home/talc-lumps-close-up-01-card-1x1-480w.avif 480w, /images/home/talc-lumps-close-up-01-card-1x1-768w.avif 768w, /images/home/talc-lumps-close-up-01-card-1x1-960w.avif 960w",White talc lumps arranged on a black background.,,lazy,,,
home,why-paktalc,why-card-quality,A063,talc-lumps-close-up-01.jpg,card-4x3,960,720,/images/home/talc-lumps-close-up-01-card-4x3-960w.webp,"/images/home/talc-lumps-close-up-01-card-4x3-480w.webp 480w, /images/home/talc-lumps-close-up-01-card-4x3-768w.webp 768w, /images/home/talc-lumps-close-up-01-card-4x3-960w.webp 960w","/images/home/talc-lumps-close-up-01-card-4x3-480w.avif 480w, /images/home/talc-lumps-close-up-01-card-4x3-768w.avif 768w, /images/home/talc-lumps-close-up-01-card-4x3-960w.avif 960w",White talc lumps arranged on a black background.,,lazy,,,
home,featured-products,product-card-talc-lumps,A316,talc-lumps-close-up-02.jpg,card-1x1,738,738,/images/home/talc-lumps-close-up-02-card-1x1-738w.webp,"/images/home/talc-lumps-close-up-02-card-1x1-480w.webp 480w, /images/home/talc-lumps-close-up-02-card-1x1-738w.webp 738w","/images/home/talc-lumps-close-up-02-card-1x1-480w.avif 480w, /images/home/talc-lumps-close-up-02-card-1x1-738w.avif 738w",Close-up of white talc lumps.,,lazy,,,
home,featured-products,product-card-talc-lumps,A316,talc-lumps-close-up-02.jpg,card-4x3,984,738,/images/home/talc-lumps-close-up-02-card-4x3-984w.webp,"/images/home/talc-lumps-close-up-02-card-4x3-480w.webp 480w, /images/home/talc-lumps-close-up-02-card-4x3-768w.webp 768w, /images/home/talc-lumps-close-up-02-card-4x3-984w.webp 984w","/images/home/talc-lumps-close-up-02-card-4x3-480w.avif 480w, /images/home/talc-lumps-close-up-02-card-4x3-768w.avif 768w, /images/home/talc-lumps-close-up-02-card-4x3-984w.avif 984w",Close-up of white talc lumps.,,lazy,,,
home,featured-products,product-card-talc-powder,A204,talc-powder-25kg-bag-skz-01.jpg,portrait-4x5,480,600,/images/home/talc-powder-25kg-bag-skz-01-portrait-4x5-480w.webp,/images/home/talc-powder-25kg-bag-skz-01-portrait-4x5-480w.webp 480w,/images/home/talc-powder-25kg-bag-skz-01-portrait-4x5-480w.avif 480w,25 kg SKZ Soap Stone / Talc Powder bag with product label.,Talc powder packed in 25 kg bags.,lazy,,,
home,mining-operations-teaser,mining-teaser,A120,underground-mine-chamber-01.jpg,banner-16x9,1920,1080,/images/home/underground-mine-chamber-01-banner-16x9-1920w.webp,"/images/home/underground-mine-chamber-01-banner-16x9-480w.webp 480w, /images/home/underground-mine-chamber-01-banner-16x9-768w.webp 768w, /images/home/underground-mine-chamber-01-banner-16x9-1024w.webp 1024w, /images/home/underground-mine-chamber-01-banner-16x9-1440w.webp 1440w, /images/home/underground-mine-chamber-01-banner-16x9-1920w.webp 1920w","/images/home/underground-mine-chamber-01-banner-16x9-480w.avif 480w, /images/home/underground-mine-chamber-01-banner-16x9-768w.avif 768w, /images/home/underground-mine-chamber-01-banner-16x9-1024w.avif 1024w, /images/home/underground-mine-chamber-01-banner-16x9-1440w.avif 1440w, /images/home/underground-mine-chamber-01-banner-16x9-1920w.avif 1920w","Two workers inside a large underground chamber floored with broken white rock, with a blue drum and hoses.",Underground extraction chamber.,lazy,,,people - consent
